# abs_vel_axis  fit_absorption_spectrum  abs_noise_env_prime  em_vel_axis  fit_emission_spectrum  em_spectrum_err
-2.848464992699999812e+02 8.693493533333332968e-01 2.070428757315240509e-01 -9.976090705000000014e+01 4.771852360535919324e+00 4.330533499999999592e+00
-2.844341468000000077e+02 7.798556333333332979e-01 2.100177525774747644e-01 -1.001732595200000020e+02 3.941344235263706253e+00 8.051434000000000424e+00
-2.840217943299999774e+02 8.894707333333332633e-01 2.068736215403821910e-01 -1.005856119900000039e+02 4.356844466637813440e+00 7.447866000000000319e+00
-2.836094418600000040e+02 1.136850113333333301e+00 1.971969246357640759e-01 -1.009979644600000057e+02 4.219776578011920520e+00 6.448946000000000289e+00
-2.831970893800000226e+02 1.377386933333333285e+00 1.982241085376448830e-01 -1.014103169299999934e+02 4.514266862719360951e+00 4.467196500000000015e+00
-2.827847369099999923e+02 1.389164699999999808e+00 2.044918369692484972e-01 -1.018226693999999952e+02 1.856454229426801605e+00 5.537244000000000277e+00
-2.823723844400000189e+02 1.169335499999999861e+00 2.119652415583137828e-01 -1.022350218699999971e+02 3.205649415458852042e-02 4.528696000000000055e+00
-2.819600319699999886e+02 9.184078199999998748e-01 2.115784565966421227e-01 -1.026473743500000069e+02 -5.013172137842913934e-01 9.278928999999999760e+00
-2.815476795000000152e+02 8.629906866666665621e-01 2.166133497065051428e-01 -1.030597268199999945e+02 -6.001315438983789718e-02 8.773244999999999294e+00
-2.811353270299999849e+02 9.330447199999999386e-01 2.236015734815296196e-01 -1.034720792899999964e+02 5.739593169842689413e-01 7.577487500000000153e+00
-2.807229745600000115e+02 1.001590966666666471e+00 2.210146453538775480e-01 -1.038844317599999982e+02 -7.213185089749574175e-01 6.914487399999999617e+00
-2.803106220899999812e+02 1.092350799999999955e+00 2.143516648832283766e-01 -1.042967842300000001e+02 -8.099825776008503508e-01 8.739665999999999713e+00
-2.798982696200000078e+02 1.141085066666666537e+00 2.030297256457293809e-01 -1.047091367000000020e+02 -8.322186995397299336e-01 6.000193000000000332e+00
-2.794859171499999775e+02 1.186868699999999999e+00 2.062592872355595019e-01 -1.051214891799999975e+02 1.438116641854723765e+00 7.094096000000000402e+00
-2.790735646699999961e+02 1.127702333333333362e+00 2.066721162768488662e-01 -1.055338416499999994e+02 2.973650216582510719e+00 5.915377000000000329e+00
-2.786612122000000227e+02 1.169788733333333219e+00 2.100944670552436222e-01 -1.059461941200000012e+02 3.045279331289950875e+00 8.422755999999999688e+00
-2.782488597299999924e+02 1.209488666666666656e+00 2.091969264123679229e-01 -1.063585465900000031e+02 1.282038742664058040e+00 6.791356000000000392e+00
-2.778365072600000190e+02 1.198898399999999809e+00 2.047063581601757942e-01 -1.067708990600000050e+02 1.415077804038165077e+00 6.199524399999999602e+00
-2.774241547899999887e+02 1.050489853333333112e+00 2.048883327343259397e-01 -1.071832515300000068e+02 3.009738767659519421e-01 8.914723000000000397e+00
-2.770118023200000152e+02 1.035609619999999786e+00 2.011389608872829193e-01 -1.075956040100000024e+02 2.212142648270720713e-01 6.068303600000000131e+00
-2.765994498499999850e+02 1.128133953333333217e+00 1.998149661207002104e-01 -1.080079564800000043e+02 4.662097662215254346e-01 6.978244000000000113e+00
-2.761870973800000115e+02 1.238445366666666603e+00 1.999804905976502734e-01 -1.084203089500000061e+02 -6.420479770710341150e-01 1.229812100000000008e+01
-2.757747449099999812e+02 1.254730899999999982e+00 2.064262083751730037e-01 -1.088326614199999938e+02 -9.907921103026036402e-02 9.334692000000000434e+00
-2.753623924400000078e+02 1.179598833333333374e+00 2.082380121432884645e-01 -1.092450138899999956e+02 -2.316471174656153043e+00 7.836763999999999619e+00
-2.749500399600000264e+02 1.060401976666666579e+00 2.057334460650425134e-01 -1.096573663599999975e+02 2.211620700512870741e-01 6.026630400000000165e+00
-2.745376874899999962e+02 9.608521599999999552e-01 2.026644146879357788e-01 -1.100697188299999993e+02 1.142722473445740627e+00 6.676961399999999713e+00
-2.741253350200000227e+02 9.092599733333331935e-01 2.080324788657106072e-01 -1.104820713099999949e+02 1.475248093173527453e+00 7.070678000000000019e+00
-2.737129825499999924e+02 9.325306799999999452e-01 2.144730946484138812e-01 -1.108944237799999968e+02 -9.747737420986855028e-01 5.195622000000000185e+00
-2.733006300800000190e+02 9.011352833333332590e-01 2.196998150381510584e-01 -1.113067762499999986e+02 -2.208438150724578275e+00 9.444399000000000655e+00
-2.728882776099999887e+02 9.056715033333332387e-01 2.131028148151667412e-01 -1.117191287200000005e+02 -1.573727612683804677e+00 4.895271300000000103e+00
-2.724759251400000153e+02 7.654205199999998266e-01 2.049938430275052292e-01 -1.121314811900000024e+02 9.564187320236356982e-01 6.263704299999999670e+00
-2.720635726699999850e+02 6.590553566666665919e-01 2.011406576331995766e-01 -1.125438336600000042e+02 -1.597413453248577531e+00 5.914062999999999626e+00
